CGPA
6.33
7.45
7.65
7.17
6.66
6.86
7.52
8.17
8.52
8.26
8.13
7.77
9.33
9.46
6.77
7.55
7.53
7.52
7.76
8.75
8.88
8.39
7.82
8.42
8.46
8.45
7.39
7.14
6.6
8.81
6.44
8.1
8.36
7.91
7.99
7.7
7.49
7.24
7.48
7.38
5.26
5.09
6.46
6.19
5.89
6.41
6.75
6.34
6.51
5.71
7.29
6.87
7.88
8.29
7.85
7.03
7.25
8.56
7.77
