CGPA
5.61
9.62
5.26
8.52
7.63
5.63
9.35
8
8.54
7.56
8.65
9.47
8.36
7.32
6.54
6.25
9.58
5.63
8.56
8.45
7.25
7.52
7.77
7.78
7.77
8.8
8.2
8.6
9.1
8.4
8.6
7.27
7.52
7.14
7.17
7.65
7.42
8.35
8.24
7.42
7.54
7.23
6.24
8.24
7.54
8.1
7.2
7.4
7.6
7.2
7.9
7.4
7.23
8.1
7.24
6.25
5.23
5.8
5.4
5.61
